# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 2470000, -1308715, 15000, 15000, 0, 0, 3400, 0
2, -363000, 0, 4000, 8000, 4, 0, 3400, 0
3, 0, 25000, 4000, 8000, 0, 0, 3400, 0
4, 363000, 0, 4000, 8000, 4, 0, 3400, 0
5, 0, 25000, 4000, 8000, 0, 0, 3400, 0
6, -363000, 0, 4000, 8000, 4, 0, 3400, 0
7, 0, 25000, 4000, 8000, 0, 0, 4000, 0
8, 363000, 0, 4000, 8000, 4, 0, 4000, 0
9, 0, 25000, 4000, 8000, 0, 0, 4000, 0
10, -363000, 0, 4000, 8000, 4, 0, 4000, 0
11, 0, 25000, 4000, 8000, 0, 0, 4800, 0
12, 363000, 0, 4000, 8000, 4, 0, 4800, 0
13, 0, 25000, 4000, 8000, 0, 0, 4800, 0
14, -363000, 0, 4000, 8000, 4, 0, 4800, 0
15, 0, 12500, 4000, 8000, 0, 0, 4800, 0
16, 363000, 0, 4000, 8000, 4, 0, 4800, 0
17, 0, 12500, 4000, 8000, 0, 0, 4800, 0
18, -363000, 0, 4000, 8000, 4, 0, 4800, 0
19, 0, 12500, 4000, 8000, 0, 0, 4800, 0
20, 363000, 0, 4000, 8000, 4, 0, 4800, 0
21, 0, 12500, 4000, 8000, 0, 0, 4800, 0
22, -363000, 0, 4000, 8000, 4, 0, 4800, 0
23, 0, 12500, 4000, 8000, 0, 0, 4800, 0
24, 363000, 0, 4000, 8000, 4, 0, 4800, 0
25, 0, 12500, 4000, 8000, 0, 0, 4800, 0
26, -363000, 0, 4000, 8000, 4, 0, 4800, 0
27, 0, 12500, 4000, 8000, 0, 0, 4800, 0
28, 363000, 0, 4000, 8000, 4, 0, 4800, 0
29, 0, 12500, 4000, 8000, 0, 0, 4800, 0
30, -363000, 0, 4000, 8000, 4, 0, 4800, 0
31, 0, 12500, 4000, 8000, 0, 0, 4800, 0
32, 363000, 0, 4000, 8000, 4, 0, 4800, 0
33, 0, 12500, 4000, 8000, 0, 0, 4800, 0
34, -363000, 0, 4000, 8000, 4, 0, 4800, 0
35, 0, 12500, 4000, 8000, 0, 0, 4800, 0
36, 363000, 0, 4000, 8000, 4, 0, 4800, 0
37, 0, 12500, 4000, 8000, 0, 0, 4800, 0
38, -363000, 0, 4000, 8000, 4, 0, 4800, 0
39, 0, 12500, 4000, 8000, 0, 0, 4800, 0
40, 363000, 0, 4000, 8000, 4, 0, 4800, 0
41, 0, 12500, 4000, 8000, 0, 0, 4800, 0
42, -363000, 0, 4000, 8000, 4, 0, 4800, 0
43, 0, 12500, 4000, 8000, 0, 0, 4800, 0
44, 363000, 0, 4000, 8000, 4, 0, 4800, 0
45, 0, 12500, 4000, 8000, 0, 0, 4800, 0
46, -363000, 0, 4000, 8000, 4, 0, 4800, 0
47, 0, 12500, 4000, 8000, 0, 0, 4800, 0
48, 363000, 0, 4000, 8000, 4, 0, 4800, 0
49, 0, 12500, 4000, 8000, 0, 0, 4800, 0
50, -363000, 0, 4000, 8000, 4, 0, 4800, 0
51, 0, 12500, 4000, 8000, 0, 0, 4800, 0
52, 363000, 0, 4000, 8000, 4, 0, 4800, 0
53, 0, 12500, 4000, 8000, 0, 0, 4800, 0
54, -363000, 0, 4000, 8000, 4, 0, 4800, 0
55, 0, 12500, 4000, 8000, 0, 0, 4800, 0
56, 363000, 0, 4000, 8000, 4, 0, 4800, 0
57, 0, 12500, 4000, 8000, 0, 0, 4800, 0
58, -363000, 0, 4000, 8000, 4, 0, 4800, 0
59, 0, 12500, 4000, 8000, 0, 0, 4800, 0
60, 363000, 0, 4000, 8000, 4, 0, 4800, 0
61, 0, 12500, 4000, 8000, 0, 0, 4800, 0
62, -363000, 0, 4000, 8000, 4, 0, 4800, 0
63, 0, 12500, 4000, 8000, 0, 0, 4800, 0
64, 363000, 0, 4000, 8000, 4, 0, 4800, 0
65, 0, 12500, 4000, 8000, 0, 0, 4800, 0
66, -363000, 0, 4000, 8000, 4, 0, 4800, 0
67, 0, 12500, 4000, 8000, 0, 0, 4800, 0
