# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 2470000, -1308715, 15000, 15000, 0, 0, 3400, 0
2, -25000, 0, 4000, 8000, 4. 0, 3400, 0
3, -33000, 0, 15000, 8000, 0, 0, 3400, 0
4, -40000, 0, 4000, 8000, 4. 0, 3400, 0
5, -46000, 0, 15000, 8000, 0, 0, 3400, 0
6, -27000, 0, 4000, 8000, 4. 0, 3400, 0
7, -52000, 0, 15000, 8000, 0, 0, 3400, 0
8, -52000, 0, 4000, 8000, 4. 0, 3400, 0
9, -39000, 0, 15000, 8000, 0, 0, 3400, 0
10, -40000, 0, 4000, 8000, 4. 0, 3400, 0
11, 354000, 0, 15000, 8000, 0, 0, 3400, 0
12, 0, 25000, 8000, 8000, 0, 0, 3400, 0
13, -25000, 0, 4000, 8000, 4. 0, 3400, 0
14, -33000, 0, 15000, 8000, 0, 0, 3400, 0
15, -40000, 0, 4000, 8000, 4. 0, 3400, 0
16, -46000, 0, 15000, 8000, 0, 0, 3400, 0
17, -27000, 0, 4000, 8000, 4. 0, 3400, 0
18, -52000, 0, 15000, 8000, 0, 0, 3400, 0
19, -52000, 0, 4000, 8000, 4. 0, 3400, 0
20, -39000, 0, 15000, 8000, 0, 0, 3400, 0
21, -40000, 0, 4000, 8000, 4. 0, 3400, 0
22, 354000, 0, 15000, 8000, 0, 0, 3400, 0
23, 0, 25000, 8000, 8000, 0, 0, 3400, 0
24, -25000, 0, 4000, 8000, 4. 0, 3400, 0
25, -33000, 0, 15000, 8000, 0, 0, 3400, 0
26, -40000, 0, 4000, 8000, 4. 0, 3400, 0
27, -46000, 0, 15000, 8000, 0, 0, 3400, 0
28, -27000, 0, 4000, 8000, 4. 0, 3400, 0
29, -52000, 0, 15000, 8000, 0, 0, 3400, 0
30, -52000, 0, 4000, 8000, 4. 0, 3400, 0
31, -39000, 0, 15000, 8000, 0, 0, 3400, 0
32, -40000, 0, 4000, 8000, 4. 0, 3400, 0
33, 354000, 0, 15000, 8000, 0, 0, 3400, 0
34, 0, 25000, 8000, 8000, 0, 0, 4000, 0
35, -25000, 0, 4000, 8000, 4. 0, 4000, 0
36, -33000, 0, 15000, 8000, 0, 0, 4000, 0
37, -40000, 0, 4000, 8000, 4. 0, 4000, 0
38, -46000, 0, 15000, 8000, 0, 0, 4000, 0
39, -27000, 0, 4000, 8000, 4. 0, 4000, 0
40, -52000, 0, 15000, 8000, 0, 0, 4000, 0
41, -52000, 0, 4000, 8000, 4. 0, 4000, 0
42, -39000, 0, 15000, 8000, 0, 0, 4000, 0
43, -40000, 0, 4000, 8000, 4. 0, 4000, 0
44, 354000, 0, 15000, 8000, 0, 0, 4000, 0
45, 0, 25000, 8000, 8000, 0, 0, 4000, 0
46, -25000, 0, 4000, 8000, 4. 0, 4000, 0
47, -33000, 0, 15000, 8000, 0, 0, 4000, 0
48, -40000, 0, 4000, 8000, 4. 0, 4000, 0
49, -46000, 0, 15000, 8000, 0, 0, 4000, 0
50, -27000, 0, 4000, 8000, 4. 0, 4000, 0
51, -52000, 0, 15000, 8000, 0, 0, 4000, 0
52, -52000, 0, 4000, 8000, 4. 0, 4000, 0
53, -39000, 0, 15000, 8000, 0, 0, 4000, 0
54, -40000, 0, 4000, 8000, 4. 0, 4000, 0
55, 354000, 0, 15000, 8000, 0, 0, 4000, 0
56, 0, 25000, 8000, 8000, 0, 0, 4800, 0
57, -25000, 0, 4000, 8000, 4. 0, 4800, 0
58, -33000, 0, 15000, 8000, 0, 0, 4800, 0
59, -40000, 0, 4000, 8000, 4. 0, 4800, 0
60, -46000, 0, 15000, 8000, 0, 0, 4800, 0
61, -27000, 0, 4000, 8000, 4. 0, 4800, 0
62, -52000, 0, 15000, 8000, 0, 0, 4800, 0
63, -52000, 0, 4000, 8000, 4. 0, 4800, 0
64, -39000, 0, 15000, 8000, 0, 0, 4800, 0
65, -40000, 0, 4000, 8000, 4. 0, 4800, 0
66, 354000, 0, 15000, 8000, 0, 0, 4800, 0
67, 0, 25000, 8000, 8000, 0, 0, 4800, 0
68, -25000, 0, 4000, 8000, 4. 0, 4800, 0
69, -33000, 0, 15000, 8000, 0, 0, 4800, 0
70, -40000, 0, 4000, 8000, 4. 0, 4800, 0
71, -46000, 0, 15000, 8000, 0, 0, 4800, 0
72, -27000, 0, 4000, 8000, 4. 0, 4800, 0
73, -52000, 0, 15000, 8000, 0, 0, 4800, 0
74, -52000, 0, 4000, 8000, 4. 0, 4800, 0
75, -39000, 0, 15000, 8000, 0, 0, 4800, 0
76, -40000, 0, 4000, 8000, 4. 0, 4800, 0
77, 354000, 0, 15000, 8000, 0, 0, 4800, 0
78, 0, 12500, 8000, 8000, 0, 0, 4800, 0
79, -25000, 0, 4000, 8000, 4. 0, 4800, 0
80, -33000, 0, 15000, 8000, 0, 0, 4800, 0
81, -40000, 0, 4000, 8000, 4. 0, 4800, 0
82, -46000, 0, 15000, 8000, 0, 0, 4800, 0
83, -27000, 0, 4000, 8000, 4. 0, 4800, 0
84, -52000, 0, 15000, 8000, 0, 0, 4800, 0
85, -52000, 0, 4000, 8000, 4. 0, 4800, 0
86, -39000, 0, 15000, 8000, 0, 0, 4800, 0
87, -40000, 0, 4000, 8000, 4. 0, 4800, 0
88, 354000, 0, 15000, 8000, 0, 0, 4800, 0
89, 0, 12500, 8000, 8000, 0, 0, 4800, 0
90, -25000, 0, 4000, 8000, 4. 0, 4800, 0
91, -33000, 0, 15000, 8000, 0, 0, 4800, 0
92, -40000, 0, 4000, 8000, 4. 0, 4800, 0
93, -46000, 0, 15000, 8000, 0, 0, 4800, 0
94, -27000, 0, 4000, 8000, 4. 0, 4800, 0
95, -52000, 0, 15000, 8000, 0, 0, 4800, 0
96, -52000, 0, 4000, 8000, 4. 0, 4800, 0
97, -39000, 0, 15000, 8000, 0, 0, 4800, 0
98, -40000, 0, 4000, 8000, 4. 0, 4800, 0
99, 354000, 0, 15000, 8000, 0, 0, 4800, 0
100, 0, 12500, 8000, 8000, 0, 0, 4800, 0
101, -25000, 0, 4000, 8000, 4. 0, 4800, 0
102, -33000, 0, 15000, 8000, 0, 0, 4800, 0
103, -40000, 0, 4000, 8000, 4. 0, 4800, 0
104, -46000, 0, 15000, 8000, 0, 0, 4800, 0
105, -27000, 0, 4000, 8000, 4. 0, 4800, 0
106, -52000, 0, 15000, 8000, 0, 0, 4800, 0
107, -52000, 0, 4000, 8000, 4. 0, 4800, 0
108, -39000, 0, 15000, 8000, 0, 0, 4800, 0
109, -40000, 0, 4000, 8000, 4. 0, 4800, 0
110, 354000, 0, 15000, 8000, 0, 0, 4800, 0
111, 0, 12500, 8000, 8000, 0, 0, 4800, 0
112, -25000, 0, 4000, 8000, 4. 0, 4800, 0
113, -33000, 0, 15000, 8000, 0, 0, 4800, 0
114, -40000, 0, 4000, 8000, 4. 0, 4800, 0
115, -46000, 0, 15000, 8000, 0, 0, 4800, 0
116, -27000, 0, 4000, 8000, 4. 0, 4800, 0
117, -52000, 0, 15000, 8000, 0, 0, 4800, 0
118, -52000, 0, 4000, 8000, 4. 0, 4800, 0
119, -39000, 0, 15000, 8000, 0, 0, 4800, 0
120, -40000, 0, 4000, 8000, 4. 0, 4800, 0
121, 354000, 0, 15000, 8000, 0, 0, 4800, 0
122, 0, 12500, 8000, 8000, 0, 0, 4800, 0
123, -25000, 0, 4000, 8000, 4. 0, 4800, 0
124, -33000, 0, 15000, 8000, 0, 0, 4800, 0
125, -40000, 0, 4000, 8000, 4. 0, 4800, 0
126, -46000, 0, 15000, 8000, 0, 0, 4800, 0
127, -27000, 0, 4000, 8000, 4. 0, 4800, 0
128, -52000, 0, 15000, 8000, 0, 0, 4800, 0
129, -52000, 0, 4000, 8000, 4. 0, 4800, 0
130, -39000, 0, 15000, 8000, 0, 0, 4800, 0
131, -40000, 0, 4000, 8000, 4. 0, 4800, 0
132, 354000, 0, 15000, 8000, 0, 0, 4800, 0
133, 0, 12500, 8000, 8000, 0, 0, 4800, 0
134, -25000, 0, 4000, 8000, 4. 0, 4800, 0
135, -33000, 0, 15000, 8000, 0, 0, 4800, 0
136, -40000, 0, 4000, 8000, 4. 0, 4800, 0
137, -46000, 0, 15000, 8000, 0, 0, 4800, 0
138, -27000, 0, 4000, 8000, 4. 0, 4800, 0
139, -52000, 0, 15000, 8000, 0, 0, 4800, 0
140, -52000, 0, 4000, 8000, 4. 0, 4800, 0
141, -39000, 0, 15000, 8000, 0, 0, 4800, 0
142, -40000, 0, 4000, 8000, 4. 0, 4800, 0
143, 354000, 0, 15000, 8000, 0, 0, 4800, 0
144, 0, 12500, 8000, 8000, 0, 0, 4800, 0
145, -25000, 0, 4000, 8000, 4. 0, 4800, 0
146, -33000, 0, 15000, 8000, 0, 0, 4800, 0
147, -40000, 0, 4000, 8000, 4. 0, 4800, 0
148, -46000, 0, 15000, 8000, 0, 0, 4800, 0
149, -27000, 0, 4000, 8000, 4. 0, 4800, 0
150, -52000, 0, 15000, 8000, 0, 0, 4800, 0
151, -52000, 0, 4000, 8000, 4. 0, 4800, 0
152, -39000, 0, 15000, 8000, 0, 0, 4800, 0
153, -40000, 0, 4000, 8000, 4. 0, 4800, 0
154, 354000, 0, 15000, 8000, 0, 0, 4800, 0
155, 0, 12500, 8000, 8000, 0, 0, 4800, 0
156, -25000, 0, 4000, 8000, 4. 0, 4800, 0
157, -33000, 0, 15000, 8000, 0, 0, 4800, 0
158, -40000, 0, 4000, 8000, 4. 0, 4800, 0
159, -46000, 0, 15000, 8000, 0, 0, 4800, 0
160, -27000, 0, 4000, 8000, 4. 0, 4800, 0
161, -52000, 0, 15000, 8000, 0, 0, 4800, 0
162, -52000, 0, 4000, 8000, 4. 0, 4800, 0
163, -39000, 0, 15000, 8000, 0, 0, 4800, 0
164, -40000, 0, 4000, 8000, 4. 0, 4800, 0
165, 354000, 0, 15000, 8000, 0, 0, 4800, 0
166, 0, 12500, 8000, 8000, 0, 0, 4800, 0
167, -25000, 0, 4000, 8000, 4. 0, 4800, 0
168, -33000, 0, 15000, 8000, 0, 0, 4800, 0
169, -40000, 0, 4000, 8000, 4. 0, 4800, 0
170, -46000, 0, 15000, 8000, 0, 0, 4800, 0
171, -27000, 0, 4000, 8000, 4. 0, 4800, 0
172, -52000, 0, 15000, 8000, 0, 0, 4800, 0
173, -52000, 0, 4000, 8000, 4. 0, 4800, 0
174, -39000, 0, 15000, 8000, 0, 0, 4800, 0
175, -40000, 0, 4000, 8000, 4. 0, 4800, 0
176, 354000, 0, 15000, 8000, 0, 0, 4800, 0
177, 0, 12500, 8000, 8000, 0, 0, 4800, 0
178, -25000, 0, 4000, 8000, 4. 0, 4800, 0
179, -33000, 0, 15000, 8000, 0, 0, 4800, 0
180, -40000, 0, 4000, 8000, 4. 0, 4800, 0
181, -46000, 0, 15000, 8000, 0, 0, 4800, 0
182, -27000, 0, 4000, 8000, 4. 0, 4800, 0
183, -52000, 0, 15000, 8000, 0, 0, 4800, 0
184, -52000, 0, 4000, 8000, 4. 0, 4800, 0
185, -39000, 0, 15000, 8000, 0, 0, 4800, 0
186, -40000, 0, 4000, 8000, 4. 0, 4800, 0
187, 354000, 0, 15000, 8000, 0, 0, 4800, 0
188, 0, 12500, 8000, 8000, 0, 0, 4800, 0
189, -25000, 0, 4000, 8000, 4. 0, 4800, 0
190, -33000, 0, 15000, 8000, 0, 0, 4800, 0
191, -40000, 0, 4000, 8000, 4. 0, 4800, 0
192, -46000, 0, 15000, 8000, 0, 0, 4800, 0
193, -27000, 0, 4000, 8000, 4. 0, 4800, 0
194, -52000, 0, 15000, 8000, 0, 0, 4800, 0
195, -52000, 0, 4000, 8000, 4. 0, 4800, 0
196, -39000, 0, 15000, 8000, 0, 0, 4800, 0
197, -40000, 0, 4000, 8000, 4. 0, 4800, 0
198, 354000, 0, 15000, 8000, 0, 0, 4800, 0
199, 0, 12500, 8000, 8000, 0, 0, 4800, 0
200, -25000, 0, 4000, 8000, 4. 0, 4800, 0
201, -33000, 0, 15000, 8000, 0, 0, 4800, 0
202, -40000, 0, 4000, 8000, 4. 0, 4800, 0
203, -46000, 0, 15000, 8000, 0, 0, 4800, 0
204, -27000, 0, 4000, 8000, 4. 0, 4800, 0
