# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 2470000, -1308715, 15000, 15000, 0, 0, 3400, 0
2, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
3, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
4, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
5, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
6, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
7, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
8, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
9, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
10, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
11, -2500, 0, 8000, 8000, -2.5, 5, 3400, 0
12, -33000, 0, 15000, 8000, 0, 0, 3400, 0
13, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
14, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
15, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
16, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
17, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
18, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
19, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
20, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
21, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
22, -4000, 0, 8000, 8000, -2.5, 5, 3400, 0
23, -46000, 0, 15000, 8000, 0, 0, 3400, 0
24, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
25, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
26, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
27, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
28, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
29, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
30, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
31, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
32, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
33, -27000, 0, 8000, 8000, -2.5, 5, 3400, 0
34, -52000, 0, 15000, 8000, 0, 0, 3400, 0
35, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
36, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
37, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
38, -5200, 0, 8000, 8000, -2.5, 5, 3400, 0
