# generated for laser system 2
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
1, 1020000, 279000, 15000, 15000, 0, 0, 3800, 0
2, 0, 25000, 1000, 1000, 4, 0, 3800, 0
3, 0, 225000, 1000, 1000, 4, 0, 3600, 0
4, 0, 100000, 1000, 1000, 4, 0, 3500, 0
5, 0, 50000, 1000, 1000, 4, 0, 3400, 0
6, 0, 25000, 1000, 1000, 4, 0, 3300, 0
7, 0, 25000, 1000, 1000, 4, 0, 3000, 0
8, 0, 50000, 1000, 1000, 4, 0, 1500, 0
9, 0, 200000, 1000, 1000, 4, 0, 1000, 0
10, 0, -200000, 1000, 1000, 4, 0, 1000, 0
11, 0, -50000, 1000, 1000, 4, 0, 1500, 0
12, 0, -25000, 1000, 1000, 4, 0, 3000, 0
13, 0, -25000, 1000, 1000, 4, 0, 3300, 0
14, 0, -50000, 1000, 1000, 4, 0, 3400, 0
15, 0, -100000, 1000, 1000, 4, 0, 3500, 0
16, 0, -225000, 1000, 1000, 4, 0, 3600, 0
17, 0, -25000, 1000, 1000, 4, 0, 3800, 0
18, 0, 25000, 1000, 1000, 4, 0, 3800, 0
19, 0, 225000, 1000, 1000, 4, 0, 3600, 0
20, 0, 100000, 1000, 1000, 4, 0, 3500, 0
21, 0, 50000, 1000, 1000, 4, 0, 3400, 0
22, 0, 25000, 1000, 1000, 4, 0, 3300, 0
23, 0, 25000, 1000, 1000, 4, 0, 3000, 0
24, 0, 50000, 1000, 1000, 4, 0, 1500, 0
25, 0, 200000, 1000, 1000, 4, 0, 1000, 0
26, 0, -200000, 1000, 1000, 4, 0, 1000, 0
27, 0, -50000, 1000, 1000, 4, 0, 1500, 0
28, 0, -25000, 1000, 1000, 4, 0, 3000, 0
29, 0, -25000, 1000, 1000, 4, 0, 3300, 0
30, 0, -50000, 1000, 1000, 4, 0, 3400, 0
31, 0, -100000, 1000, 1000, 4, 0, 3500, 0
32, 0, -225000, 1000, 1000, 4, 0, 3600, 0
33, 0, -25000, 1000, 1000, 4, 0, 3800, 0
34, 0, 25000, 1000, 1000, 4, 0, 3800, 0
35, 0, 225000, 1000, 1000, 4, 0, 3600, 0
36, 0, 100000, 1000, 1000, 4, 0, 3500, 0
37, 0, 50000, 1000, 1000, 4, 0, 3400, 0
38, 0, 25000, 1000, 1000, 4, 0, 3300, 0
39, 0, 25000, 1000, 1000, 4, 0, 3000, 0
40, 0, 50000, 1000, 1000, 4, 0, 1500, 0
41, 0, 200000, 1000, 1000, 4, 0, 1000, 0
42, 0, -200000, 1000, 1000, 4, 0, 1000, 0
43, 0, -50000, 1000, 1000, 4, 0, 1500, 0
44, 0, -25000, 1000, 1000, 4, 0, 3000, 0
45, 0, -25000, 1000, 1000, 4, 0, 3300, 0
46, 0, -50000, 1000, 1000, 4, 0, 3400, 0
47, 0, -100000, 1000, 1000, 4, 0, 3500, 0
48, 0, -225000, 1000, 1000, 4, 0, 3600, 0
49, 0, -25000, 1000, 1000, 4, 0, 3800, 0
50, 0, 25000, 1000, 1000, 4, 0, 3800, 0
51, 0, 225000, 1000, 1000, 4, 0, 3600, 0
52, 0, 100000, 1000, 1000, 4, 0, 3500, 0
53, 0, 50000, 1000, 1000, 4, 0, 3400, 0
54, 0, 25000, 1000, 1000, 4, 0, 3300, 0
55, 0, 25000, 1000, 1000, 4, 0, 3000, 0
56, 0, 50000, 1000, 1000, 4, 0, 1500, 0
57, 0, 200000, 1000, 1000, 4, 0, 1000, 0
58, 0, -200000, 1000, 1000, 4, 0, 1000, 0
59, 0, -50000, 1000, 1000, 4, 0, 1500, 0
60, 0, -25000, 1000, 1000, 4, 0, 3000, 0
61, 0, -25000, 1000, 1000, 4, 0, 3300, 0
62, 0, -50000, 1000, 1000, 4, 0, 3400, 0
63, 0, -100000, 1000, 1000, 4, 0, 3500, 0
64, 0, -225000, 1000, 1000, 4, 0, 3600, 0
65, 0, -25000, 1000, 1000, 4, 0, 3800, 0
66, 0, 25000, 1000, 1000, 4, 0, 3800, 0
67, 0, 225000, 1000, 1000, 4, 0, 3600, 0
68, 0, 100000, 1000, 1000, 4, 0, 3500, 0
69, 0, 50000, 1000, 1000, 4, 0, 3400, 0
70, 0, 25000, 1000, 1000, 4, 0, 3300, 0
71, 0, 25000, 1000, 1000, 4, 0, 3000, 0
72, 0, 50000, 1000, 1000, 4, 0, 1500, 0
73, 0, 200000, 1000, 1000, 4, 0, 1000, 0
74, 0, -200000, 1000, 1000, 4, 0, 1000, 0
75, 0, -50000, 1000, 1000, 4, 0, 1500, 0
76, 0, -25000, 1000, 1000, 4, 0, 3000, 0
77, 0, -25000, 1000, 1000, 4, 0, 3300, 0
78, 0, -50000, 1000, 1000, 4, 0, 3400, 0
79, 0, -100000, 1000, 1000, 4, 0, 3500, 0
80, 0, -225000, 1000, 1000, 4, 0, 3600, 0
81, 0, -25000, 1000, 1000, 4, 0, 3800, 0


	
