#N,     HRM,      VRM,       HS,    VS,  S,  SC,    AT, AP
 0, 1010400,   993000,    15000, 15000,  0,   0, 12000, 120     # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0, 12000, 120   # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0, 12000, 120   # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0, 11500, 120   # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0, 11500, 120   # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0, 11000, 120     # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0, 11000, 120   # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0, 10500, 120    # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0, 10500, 120   # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0, 10000, 120   # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0, 10000, 120    # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0,  9500, 120    # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0,  9500, 120   # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0,  9000, 120    # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0,  9000, 120   # shooting at 1 Hz while moving
 0,       0,  -713000,        0,  8000,  4,   0,  8500, 120   # shooting at 1 Hz while moving
 0,       0,   713000,        0,  8000,  4,   0,  8500, 120   # shooting at 1 Hz while moving
